Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000185344,12,124196865,124246302,ATP6V0A2
ENSG00000196743,5,150591711,150650001,GM2A
ENSG00000178597,4,7432022,7436700,PSAPL1
ENSG00000170266,3,33038100,33138722,GLB1
ENSG00000152056,2,224616403,224702744,AP1S3
ENSG00000177628,1,155204243,155214490,GBA
ENSG00000136943,9,99794940,99801925,CTSV
ENSG00000065000,19,2100988,2164464,AP3D1
ENSG00000010404,X,148558521,148615470,IDS
ENSG00000103811,15,79213400,79241916,CTSH
ENSG00000241489,X,148564074,148615470,IDS
ENSG00000141012,16,88880142,88923378,GALNS
ENSG00000135677,12,65107225,65153227,GNS
ENSG00000068697,2,20232411,20251789,LAPTM4A
ENSG00000134575,11,47260853,47270457,ACP2
ENSG00000227129,HSCHR6_MHC_MCF,31901917,31907164,NEU1
ENSG00000132842,5,77296349,77590579,AP3B1
ENSG00000113273,5,78073032,78281910,ARSB
ENSG00000134243,1,109852192,109940573,SORT1
ENSG00000103723,15,83328033,83378666,AP3B2
ENSG00000072958,19,16308389,16346160,AP1M1
ENSG00000228116,HSCHR6_MHC_DBB,32096994,32101885,PPT2
ENSG00000231618,HSCHR6_MHC_MCF,32197644,32216187,PPT2
ENSG00000169919,7,65425671,65447301,GUSB
ENSG00000033627,17,40610862,40674629,ATP6V0A1
ENSG00000109861,11,88026760,88070955,CTSC
ENSG00000109323,4,103552660,103682151,MANBA
ENSG00000119655,14,74942895,74960880,NPC2
ENSG00000100299,22,51061182,51066607,ARSA
ENSG00000134262,1,114437370,114447823,AP4B1
ENSG00000100600,14,93170152,93215047,LGMN
ENSG00000171298,17,78075355,78093678,GAA
ENSG00000157823,15,90373831,90437574,AP3S2
ENSG00000103365,16,23474863,23533316,GGA2
ENSG00000181523,17,78180515,78194722,SGSH
ENSG00000100448,14,25042728,25045466,CTSG
ENSG00000159720,16,67471917,67515140,ATP6V0D1
ENSG00000129226,17,7482785,7485429,CD68
ENSG00000261832,16,28477974,28503333,CLN3
ENSG00000040531,17,3539762,3564836,CTNS
ENSG00000188603,16,28477983,28506896,CLN3
ENSG00000090674,19,7587512,7598895,MCOLN1
ENSG00000264606,HG1293_PATCH,206072825,206087470,CTSE
ENSG00000269216,HG329_PATCH,19166989,19279229,CLTCL1
ENSG00000268815,HG1439_PATCH,100652791,100662913,GLA
ENSG00000267816,HG1459_PATCH,148558712,148615657,IDS
ENSG00000269041,HG1459_PATCH,148564265,148615657,IDS
ENSG00000269668,HG1497_PATCH,153597100,153604984,ATP6AP1
