Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000260314,HG544_PATCH,17851343,17953161,MRC1
ENSG00000206298,HSCHR6_MHC_QBL,32737204,32741190,PSMB8
ENSG00000026950,6,26402465,26415444,BTN3A1
ENSG00000182566,19,7793843,7798792,CLEC4G
ENSG00000211953,14,106791005,106791536,IGHV3-30
ENSG00000148356,9,130213765,130265780,LRSAM1
ENSG00000211955,14,106815722,106816253,IGHV3-33
ENSG00000113441,5,96271098,96373219,LNPEP
ENSG00000211956,14,106829594,106830076,IGHV4-34
ENSG00000131019,6,150384286,150390231,ULBP3
ENSG00000243594,HSCHR6_MHC_QBL,32740623,32776073,PSMB9
ENSG00000232839,HSCHR6_MHC_DBB,30284507,30304844,TRIM39
ENSG00000206297,HSCHR6_MHC_QBL,32741696,32750465,TAP1
ENSG00000211959,14,106877619,106878126,IGHV4-39
ENSG00000146232,6,44225903,44233500,NFKBIE
ENSG00000090659,19,7804879,7812464,CD209
ENSG00000234438,15,65369154,65372276,KBTBD13
ENSG00000137393,6,18368779,18469105,RNF144B
ENSG00000127870,13,26706253,26796791,RNF6
ENSG00000230708,HSCHR6_MHC_COX,32965679,32976889,HLA-DPB1
ENSG00000243496,HSCHR6_MHC_DBB,32758669,32762954,HLA-DOB
ENSG00000211962,14,106967049,106967788,IGHV1-46
ENSG00000241674,HSCHR6_MHC_QBL,32831136,32849631,HLA-DMB
ENSG00000211964,14,106993814,106994346,IGHV3-48
ENSG00000187147,1,44870866,45117396,RNF220
ENSG00000223481,HSCHR6_MHC_DBB,32767739,32784536,TAP2
ENSG00000117399,1,43824626,43828874,CDC20
ENSG00000166167,10,103113820,103317078,BTRC
ENSG00000177455,16,28943260,28950667,CD19
ENSG00000242685,HSCHR6_MHC_QBL,32845119,32867240,HLA-DMA
ENSG00000221823,2,68405989,68483369,PPP3R1
ENSG00000211967,14,107048672,107049341,IGHV3-53
ENSG00000119048,5,133706870,133727683,UBE2B
ENSG00000224373,14,107081806,107083830,IGHV4-59
ENSG00000211973,14,107169931,107170428,IGHV1-69
ENSG00000211974,14,107178820,107179338,IGHV2-70
ENSG00000133606,7,140152840,140179369,MKRN1
ENSG00000223380,1,145096220,145116922,SEC22B
ENSG00000111801,6,26440700,26453643,BTN3A3
ENSG00000206208,HSCHR6_MHC_MCF,33437818,33452509,TAPBP
ENSG00000117461,1,46505812,46642160,PIK3R3
ENSG00000243910,2,220117965,220136910,TUBA4B
ENSG00000152700,5,133936834,133984961,SAR1B
ENSG00000226650,5,154393260,154397685,KIF4B
ENSG00000070831,1,22379120,22419437,CDC42
ENSG00000230034,HSCHR6_MHC_DBB,32786475,32790461,PSMB8
ENSG00000055208,6,149539777,149732749,TAB2
ENSG00000229252,HSCHR6_MHC_DBB,30447487,30452225,HLA-E
ENSG00000206292,HSCHR6_MHC_QBL,32900651,32906085,HLA-DOA
ENSG00000154359,8,12579403,12613582,LONRF1
ENSG00000262509,HG339_PATCH,97951459,98031303,BLNK
ENSG00000105221,19,40736224,40791443,AKT2
ENSG00000131263,X,73805052,73834452,RLIM
ENSG00000206291,HSCHR6_MHC_QBL,32961400,32977612,HLA-DPA1
ENSG00000206509,HSCHR6_MHC_QBL,29688014,29703770,HLA-F
ENSG00000189430,19,55417508,55427508,NCR1
ENSG00000221983,19,18682540,18688360,UBA52
ENSG00000142945,1,45205490,45233439,KIF2C
ENSG00000215048,HSCHR6_MHC_QBL,32972757,32984034,HLA-DPB1
ENSG00000240118,HSCHR6_MHC_DBB,32789894,32825298,PSMB9
ENSG00000109466,4,166128770,166244308,KLHL2
ENSG00000213658,16,28996147,29002104,LAT
ENSG00000138160,10,94353043,94415150,KIF11
ENSG00000113615,5,133984479,134063513,SEC24A
ENSG00000176624,18,48700920,48744674,MEX3C
ENSG00000206506,HSCHR6_MHC_QBL,29791932,29796106,HLA-G
ENSG00000117984,11,1773982,1785222,CTSD
ENSG00000132128,1,46726868,46769280,LRRC41
ENSG00000092148,14,31569318,31677010,HECTD1
ENSG00000138448,2,187454792,187545628,ITGAV
ENSG00000233841,HSCHR6_MHC_COX,31227577,31230958,HLA-C
ENSG00000206505,HSCHR6_MHC_QBL,29898417,29903057,HLA-A
ENSG00000113263,5,156569944,156682201,ITK
ENSG00000166266,11,107879459,107978503,CUL5
ENSG00000183785,22,18593097,18629321,TUBA8
ENSG00000174996,11,66024765,66035331,KLC2
ENSG00000224212,HSCHR6_MHC_DBB,32790967,32799736,TAP1
ENSG00000112763,6,26458150,26476849,BTN2A1
ENSG00000116031,2,71057347,71062952,CD207
ENSG00000069869,15,56119120,56285944,NEDD4
ENSG00000175093,3,140770244,140867453,SPSB4
ENSG00000223532,HSCHR6_MHC_COX,31312134,31315506,HLA-B
ENSG00000256043,4,156845270,156875069,CTSO
ENSG00000109670,4,153242410,153457253,FBXW7
ENSG00000263440,HG871_PATCH,5435290,5447022,TUBAL3
ENSG00000124557,6,26501449,26510650,BTN1A1
ENSG00000132155,3,12625100,12705725,RAF1
ENSG00000068971,11,64685025,64701945,PPP2R5B
ENSG00000226264,HSCHR6_MHC_DBB,32880346,32898843,HLA-DMB
ENSG00000079616,16,29802040,29816706,KIF22
ENSG00000141447,18,21742008,21977844,OSBPL1A
ENSG00000205220,16,67968405,67970990,PSMB10
ENSG00000163636,3,63996225,64009658,PSMD6
ENSG00000146833,7,99474581,99517223,TRIM4
ENSG00000126107,1,45468212,45477001,HECTD3
ENSG00000107829,10,103370423,103455052,FBXW4
ENSG00000042753,19,47341393,47354249,AP2S1
ENSG00000103266,16,730224,732870,STUB1
ENSG00000104312,8,90769975,90803291,RIPK2
ENSG00000102048,X,15253410,15288589,ASB9
ENSG00000161911,6,41117080,41122075,TREML1
ENSG00000150995,3,4535032,4889524,ITPR1
ENSG00000165192,X,15298053,15333778,ASB11
ENSG00000095970,6,41126244,41130924,TREM2
ENSG00000206495,HSCHR6_MHC_QBL,30283753,30304091,TRIM39
ENSG00000112195,6,41158015,41168932,TREML2
ENSG00000127585,16,742500,755829,FBXL16
ENSG00000188056,6,41196062,41206620,TREML4
ENSG00000150093,10,33189247,33294720,ITGB1
ENSG00000241394,HSCHR6_MHC_DBB,32894331,32898843,HLA-DMA
ENSG00000196510,12,110810705,110841535,ANAPC7
ENSG00000100280,22,29723669,29819168,AP1B1
ENSG00000180537,6,13924677,13980533,RNF182
ENSG00000182287,X,15843929,15873054,AP1S2
ENSG00000124731,6,41235664,41254457,TREM1
ENSG00000085382,6,105175968,105307794,HACE1
ENSG00000105369,19,42381190,42385439,CD79A
ENSG00000096264,6,41303393,41318625,NCR2
ENSG00000235744,HSCHR6_MHC_DBB,32949907,32955340,HLA-DOA
ENSG00000131437,5,132028320,132073330,KIF3A
ENSG00000206493,HSCHR6_MHC_QBL,30446762,30451500,HLA-E
ENSG00000077380,2,172543919,172604930,DYNC1I2
ENSG00000107295,9,17579080,17797127,SH3GL2
ENSG00000138802,4,110354928,110462052,SEC24B
ENSG00000196188,1,206317459,206332104,CTSE
ENSG00000234218,HSCHR6_MHC_COX,31453328,31466366,MICB
ENSG00000133661,10,81697496,81742370,SFTPD
ENSG00000229215,HSCHR6_MHC_APD,29845529,29850151,HLA-A
ENSG00000154611,18,23713816,23773319,PSMA8
ENSG00000174080,11,66330934,66336312,CTSF
ENSG00000154447,4,170015407,170192256,SH3RF1
ENSG00000106976,9,130965658,131017527,DNM1
ENSG00000145604,5,36152091,36184421,SKP2
ENSG00000231925,6,33267471,33282164,TAPBP
ENSG00000170035,2,181831975,181941312,UBE2E3
ENSG00000183475,15,101142739,101191910,ASB7
ENSG00000072736,16,68118654,68263162,NFATC3
ENSG00000168542,2,189839046,189877472,COL3A1
ENSG00000229685,HSCHR6_MHC_DBB,33010288,33026494,HLA-DPA1
ENSG00000013561,5,141337893,141369856,RNF14
ENSG00000167323,11,3875757,4114439,STIM1
ENSG00000237710,HSCHR6_MHC_DBB,33021645,33032912,HLA-DPB1
ENSG00000158092,3,136581050,136668665,NCK1
ENSG00000164327,5,38938021,39074510,RICTOR
ENSG00000132388,17,4172554,4269923,UBE2G1
ENSG00000198286,7,2945775,3083579,CARD11
ENSG00000260890,HG7_PATCH,142270879,142271415,TRBV7-9
ENSG00000171931,17,18647326,18682662,FBXW10
ENSG00000260904,HG7_PATCH,142302038,142302543,TRBV12-3
ENSG00000153827,2,230628554,230787955,TRIP12
ENSG00000115232,2,182321929,182400914,ITGA4
ENSG00000230308,HSCHR6_MHC_APD,30302488,30322825,TRIM39
ENSG00000157450,15,59157374,59389618,RNF111
ENSG00000173898,11,66452719,66496697,SPTBN2
ENSG00000114125,3,141457046,141466402,RNF7
ENSG00000092531,15,42783431,42837547,SNAP23
ENSG00000137713,11,111597632,111637151,PPP2R1B
ENSG00000132109,11,4406127,4414926,TRIM21
ENSG00000118496,6,146114638,146135889,FBXO30
ENSG00000161800,12,50370706,50426919,RACGAP1
ENSG00000256646,7,42948872,42971773,PSMA2
ENSG00000081307,3,132373290,132396941,UBA5
ENSG00000106588,7,42956460,42971822,PSMA2
ENSG00000160087,1,1189289,1209265,UBE2J2
ENSG00000053900,4,25378835,25420120,ANAPC4
ENSG00000198642,9,21329670,21335379,KLHL9
ENSG00000127314,12,69004619,69054372,RAP1B
ENSG00000163131,1,150702672,150738433,CTSS
ENSG00000110651,11,2397407,2418649,CD81
ENSG00000101255,20,361261,378203,TRIB3
ENSG00000143387,1,150768684,150780799,CTSK
ENSG00000262764,HG388_HG400_PATCH,111597632,111637151,PPP2R1B
ENSG00000125826,20,388142,411610,RBCK1
ENSG00000231179,HSCHR6_MHC_APD,31477173,31490193,MICB
ENSG00000059145,16,1413206,1464752,UNKL
ENSG00000089053,12,121746048,121837699,ANAPC5
ENSG00000109046,17,25621102,25640657,WSB1
ENSG00000177885,17,73314157,73401790,GRB2
ENSG00000007944,6,16129356,16148479,MYLIP
ENSG00000108106,19,55912652,55919145,UBE2S
ENSG00000049759,18,55711599,56068772,NEDD4L
ENSG00000236315,HSCHR6_MHC_APD,31567993,31572083,NCR3
ENSG00000147010,X,19552093,19905719,SH3KBP1
ENSG00000163743,4,76404247,76439974,RCHY1
ENSG00000121879,3,178865902,178957881,PIK3CA
ENSG00000055130,7,148395006,148498128,CUL1
ENSG00000171862,10,89622870,89731687,PTEN
ENSG00000163013,2,73481810,73511559,FBXO41
ENSG00000134758,18,29671818,29711524,RNF138
ENSG00000183020,11,924894,1012239,AP2A2
ENSG00000174059,1,208057594,208084747,CD34
ENSG00000039068,16,68771128,68869451,CDH1
ENSG00000158125,2,31557187,31637581,XDH
ENSG00000112146,6,52916789,52965671,FBXO9
ENSG00000170633,12,121837844,121868389,RNF34
ENSG00000129084,11,14515329,14665181,PSMA1
ENSG00000159459,15,43235095,43398311,UBR1
ENSG00000152503,5,114460459,114516243,TRIM36
ENSG00000165572,13,41701705,41706882,KBTBD6
ENSG00000120696,13,41763969,41768702,KBTBD7
ENSG00000073008,19,45147098,45166850,PVR
ENSG00000006125,17,33905065,34053436,AP2B1
ENSG00000078967,7,43966037,43995735,UBE2D4
ENSG00000164122,4,177134824,177198722,ASB5
ENSG00000125818,20,1093906,1160596,PSMF1
ENSG00000107968,10,30722866,30750762,MAP3K8
ENSG00000256206,11,14515329,14541890,PSMA1
ENSG00000163376,3,67048727,67061634,KBTBD8
ENSG00000172175,18,56338618,56417371,MALT1
ENSG00000228299,HSCHR6_MHC_DBB,31228737,31232108,HLA-C
ENSG00000100902,14,35747839,35786699,PSMA6
ENSG00000088832,20,1349622,1373806,FKBP1A
ENSG00000141200,17,51900239,51902573,KIF2B
ENSG00000100906,14,35870717,35873955,NFKBIA
ENSG00000146021,5,136953189,137071779,KLHL3
ENSG00000008018,6,170844205,170862429,PSMB1
ENSG00000127452,19,9920943,9938492,FBXL12
ENSG00000224378,HSCHR6_MHC_DBB,31447882,31461098,MICB
ENSG00000004897,17,45195069,45266788,CDC27
ENSG00000235220,HSCHR6_MHC_DBB,29688037,29703789,HLA-F
ENSG00000096433,6,33588142,33664351,ITPR3
ENSG00000165338,10,93170096,93274586,HECTD2
ENSG00000224242,HSCHR6_MHC_SSTO,32367231,32381497,BTNL2
ENSG00000226127,HSCHR6_MHC_APD,32371619,32385878,BTNL2
ENSG00000234794,HSCHR6_MHC_SSTO,32413425,32418635,HLA-DRA
ENSG00000066027,1,212458879,212535200,PPP2R5A
ENSG00000107341,9,33817565,33920402,UBE2R2
ENSG00000233192,HSCHR6_MHC_APD,32694039,32700103,HLA-DQA2
ENSG00000173692,2,231921578,232037541,PSMD1
ENSG00000230675,HSCHR6_MHC_APD,32708756,32716212,HLA-DQB2
ENSG00000182500,12,122064455,122080583,ORAI1
ENSG00000243612,HSCHR6_MHC_APD,32764306,32768591,HLA-DOB
ENSG00000227357,HSCHR6_MHC_SSTO,32509573,32524536,HLA-DRB4
ENSG00000183918,X,123480194,123507005,SH2D1A
ENSG00000225967,HSCHR6_MHC_APD,32773366,32790162,TAP2
ENSG00000228080,HSCHR6_MHC_SSTO,32637568,32670792,HLA-DRB1
ENSG00000196405,14,100437786,100610573,EVL
ENSG00000148331,9,132399171,132404444,ASB6
ENSG00000230669,HSCHR6_MHC_APD,32792101,32796087,PSMB8
ENSG00000124226,20,48552948,48570429,RNF114
ENSG00000112493,HSCHR6_MHC_COX,33189081,33203772,TAPBP
ENSG00000099910,22,20783528,20850170,KLHL22
ENSG00000242711,HSCHR6_MHC_APD,32795520,32830948,PSMB9
ENSG00000232062,HSCHR6_MHC_SSTO,32697728,32726026,HLA-DQA1
ENSG00000108294,17,36908989,36920484,PSMB3
ENSG00000227816,HSCHR6_MHC_APD,32796593,32805362,TAP1
ENSG00000244687,20,48697661,48732496,UBE2V1
ENSG00000183580,5,15500305,15939900,FBXL7
ENSG00000179295,12,112856155,112947717,PTPN11
ENSG00000235346,HSCHR6_MHC_DBB,29791968,29796126,HLA-G
ENSG00000163808,3,44803209,44914868,KIF15
ENSG00000242092,HSCHR6_MHC_APD,32885993,32904491,HLA-DMB
ENSG00000242361,HSCHR6_MHC_APD,32899979,32904491,HLA-DMA
ENSG00000235844,HSCHR6_MHC_APD,33015768,33031962,HLA-DPA1
ENSG00000087191,17,61904512,61909379,PSMC5
ENSG00000024048,6,42531800,42661242,UBR2
ENSG00000236693,HSCHR6_MHC_APD,33027107,33038372,HLA-DPB1
ENSG00000198961,5,108670410,108745695,PJA2
ENSG00000134086,3,10182692,10193904,VHL
ENSG00000237808,HSCHR6_MHC_COX,31544080,31548170,NCR3
ENSG00000005844,16,30483979,30534506,ITGAL
ENSG00000188211,11,17373273,17398888,NCR3LG1
ENSG00000178562,2,204571198,204603635,CD28
ENSG00000231526,HSCHR6_MHC_SSTO,32799929,32805799,HLA-DQA2
ENSG00000226165,HSCHR6_MHC_SSTO,32814683,32822138,HLA-DQB2
ENSG00000144744,3,69103881,69129559,UBA3
ENSG00000159352,1,151227179,151239955,PSMD4
ENSG00000239457,HSCHR6_MHC_SSTO,32870615,32874900,HLA-DOB
ENSG00000163599,2,204732509,204738683,CTLA4
ENSG00000186470,6,26365387,26378546,BTN3A2
ENSG00000232326,HSCHR6_MHC_SSTO,32879675,32896470,TAP2
ENSG00000135218,7,79998891,80308593,CD36
ENSG00000157020,3,10334815,10362862,SEC13
ENSG00000137100,9,34613548,34620515,DCTN3
ENSG00000231631,HSCHR6_MHC_SSTO,32898409,32902343,PSMB8
ENSG00000197530,1,1550795,1565990,MIB2
ENSG00000235657,HSCHR6_MHC_DBB,29899000,29903640,HLA-A
ENSG00000091428,2,173600002,173917621,RAPGEF4
ENSG00000243958,HSCHR6_MHC_SSTO,32901828,32937246,PSMB9
ENSG00000163600,2,204801471,204826300,ICOS
ENSG00000224748,HSCHR6_MHC_SSTO,32902901,32911670,TAP1
ENSG00000165168,X,37639264,37672714,CYBB
ENSG00000108344,17,38137050,38154213,PSMD3
ENSG00000104365,8,42128820,42189973,IKBKB
ENSG00000155034,7,5470966,5553429,FBXL18
ENSG00000051382,3,138372860,138553780,PIK3CB
ENSG00000100225,22,32870663,32894818,FBXO7
ENSG00000101096,20,50003494,50179370,NFATC2
ENSG00000110801,12,122326637,122356203,PSMD9
ENSG00000121594,3,119243140,119278449,CD80
ENSG00000139187,12,9102640,9163356,KLRG1
ENSG00000167851,17,72462555,72480933,CD300A
ENSG00000006062,17,43340488,43394414,MAP3K14
ENSG00000109906,11,113930315,114121398,ZBTB16
ENSG00000236490,HSCHR6_MHC_DBB,33245400,33260090,TAPBP
ENSG00000241296,HSCHR6_MHC_SSTO,32992302,33010800,HLA-DMB
ENSG00000243215,HSCHR6_MHC_SSTO,33006288,33028403,HLA-DMA
ENSG00000104892,19,45836692,45854778,KLC3
ENSG00000107872,10,104178946,104182893,FBXL15
ENSG00000142507,17,4699439,4701790,PSMB6
ENSG00000131653,16,2205699,2228130,TRAF7
ENSG00000113558,5,133484633,133512729,SKP1
ENSG00000146926,7,150872785,150884919,ASB10
ENSG00000232957,HSCHR6_MHC_SSTO,33111813,33117246,HLA-DOA
ENSG00000178789,17,72517313,72527613,CD300LB
ENSG00000090339,19,10381511,10397291,ICAM1
ENSG00000167965,16,2254249,2259417,MLST8
ENSG00000236177,HSCHR6_MHC_SSTO,33171992,33188198,HLA-DPA1
ENSG00000105371,19,10397643,10399198,ICAM4
ENSG00000167850,17,72537247,72542282,CD300C
ENSG00000226826,HSCHR6_MHC_SSTO,33183349,33194624,HLA-DPB1
ENSG00000204345,17,72575504,72588422,CD300LD
ENSG00000172575,15,38780304,38857776,RASGRP1
ENSG00000141279,17,45600308,45700642,NPEPPS
ENSG00000170759,10,32297938,32345359,KIF5B
ENSG00000186407,17,72606026,72619897,CD300E
ENSG00000206452,HSCHR6_MHC_QBL,31226380,31229751,HLA-C
ENSG00000105376,19,10400657,10407454,ICAM5
ENSG00000113575,5,133530025,133561833,PPP2CA
ENSG00000108094,10,35297479,35379570,CUL2
ENSG00000073009,X,153769414,153796782,IKBKG
ENSG00000159377,1,151372010,151374420,PSMB4
ENSG00000237508,HSCHR6_MHC_MANN,29687660,29703415,HLA-F
ENSG00000111796,12,9747147,9760482,KLRB1
ENSG00000206450,HSCHR6_MHC_QBL,31311768,31315097,HLA-B
ENSG00000069493,12,9817565,9848413,CLEC2D
ENSG00000235680,HSCHR6_MHC_MANN,29791677,29795834,HLA-G
ENSG00000231834,HSCHR6_MHC_MANN,29898024,29902665,HLA-A
ENSG00000174125,4,38792298,38858438,TLR1
ENSG00000153107,2,112523848,112642267,ANAPC1
ENSG00000174130,4,38825336,38858438,TLR6
ENSG00000138107,10,104238986,104262482,ACTR1A
ENSG00000158022,1,26377795,26394927,TRIM63
ENSG00000076662,19,10444452,10450499,ICAM3
ENSG00000206449,HSCHR6_MHC_QBL,31456185,31469201,MICB
ENSG00000144935,3,142442916,142526730,TRPC1
ENSG00000109790,4,39046659,39128477,KLHL5
ENSG00000141552,17,79848666,79858867,ANAPC11
ENSG00000162063,16,2479395,2508855,CCNF
ENSG00000185651,22,21903736,21978323,UBE2L3
ENSG00000198898,7,116451124,116562103,CAPZA2
ENSG00000158270,18,319361,500722,COLEC12
ENSG00000125753,19,46009837,46030241,VASP
ENSG00000121716,7,99933737,99965356,PILRB
ENSG00000237103,HSCHR6_MHC_DBB,31538820,31542910,NCR3
ENSG00000226437,HSCHR6_MHC_MANN,30338927,30359267,TRIM39
ENSG00000099364,16,30934376,30960104,FBXL19
ENSG00000150045,12,9980077,9997606,KLRF1
ENSG00000112984,5,137514408,137523404,KIF20A
ENSG00000236632,HSCHR6_MHC_MANN,30501925,30506663,HLA-E
ENSG00000152689,2,33661391,33789817,RASGRP3
ENSG00000112640,6,42952237,42980080,PPP2R5D
ENSG00000177889,12,93799449,93836038,UBE2N
ENSG00000110852,12,10005583,10022735,CLEC2B
ENSG00000103496,16,31044210,31054296,STX4
ENSG00000167004,15,44038590,44065477,PDIA3
ENSG00000085514,7,99965153,99997719,PILRA
ENSG00000086758,X,53559057,53713673,HUWE1
ENSG00000140992,16,2587965,2653189,PDPK1
ENSG00000079999,19,10596796,10614417,KEAP1
ENSG00000151876,5,41925356,41941845,FBXO4
ENSG00000100365,22,37257030,37274057,NCF4
ENSG00000163481,2,219528587,219537134,RNF25
ENSG00000174989,12,117348761,117468953,FBXW8
ENSG00000176105,18,721588,812547,YES1
ENSG00000150637,18,67498394,67629039,CD226
ENSG00000150961,4,119643978,119759838,SEC24D
ENSG00000160223,21,45642874,45660849,ICOSLG
ENSG00000118420,6,83602117,83775560,UBE3D
ENSG00000100934,14,39501123,39578850,SEC23A
ENSG00000211640,22,22550113,22550860,IGLV6-57
ENSG00000115073,2,98272431,98280570,ACTR1B
ENSG00000129354,19,10683347,10697991,AP1M2
ENSG00000211644,22,22676828,22677336,IGLV1-51
ENSG00000211648,22,22712087,22712608,IGLV1-47
ENSG00000211651,22,22735135,22735715,IGLV1-44
ENSG00000211652,22,22749356,22749827,IGLV7-43
ENSG00000211653,22,22764098,22764614,IGLV1-40
ENSG00000206430,HSCHR6_MHC_QBL,31546917,31551005,NCR3
ENSG00000135108,12,117581146,117628336,FBXO21
ENSG00000130985,X,47050260,47074527,UBA1
ENSG00000122705,9,36190853,36304778,CLTA
ENSG00000211658,22,23010758,23011276,IGLV3-27
ENSG00000211659,22,23029190,23029735,IGLV3-25
ENSG00000211660,22,23040274,23040892,IGLV2-23
ENSG00000211662,22,23054174,23055688,IGLV3-21
ENSG00000211663,22,23063108,23063630,IGLV3-19
ENSG00000211666,22,23101189,23101707,IGLV2-14
ENSG00000211668,22,23134980,23135496,IGLV2-11
ENSG00000211671,22,23165153,23165787,IGLV2-8
ENSG00000044090,6,43005355,43021683,CUL7
ENSG00000211673,22,23222886,23223576,IGLV3-1
ENSG00000211677,22,23243156,23243617,IGLC2
ENSG00000211679,22,23248512,23248973,IGLC3
ENSG00000159445,1,151846060,151882284,THEM4
ENSG00000161203,3,183892477,183901879,AP2M1
ENSG00000141665,18,71740588,71815100,FBXO15
ENSG00000177414,1,64669310,64733051,UBE2U
ENSG00000130725,19,59067079,59070327,UBE2M
ENSG00000185532,10,52750945,54058110,PRKG1
ENSG00000115085,2,98330023,98356325,ZAP70
ENSG00000164307,5,96096521,96143803,ERAP1
ENSG00000043462,5,169673241,169725231,LCP2
ENSG00000224770,HSCHR6_MHC_COX,32308863,32323110,BTNL2
ENSG00000227993,HSCHR6_MHC_COX,32355870,32361037,HLA-DRA
ENSG00000078140,4,39699664,39784412,UBE2K
ENSG00000136238,7,6414154,6443608,RAC1
ENSG00000175203,12,57923885,57941114,DCTN2
ENSG00000206240,HSCHR6_MHC_COX,32475947,32506554,HLA-DRB1
ENSG00000154380,1,225674537,225840844,ENAH
ENSG00000094880,5,137523339,137549032,CDC23
ENSG00000078304,14,102228135,102394326,PPP2R5C
ENSG00000147912,9,37510889,37588871,FBXO10
ENSG00000137171,6,43008515,43042837,KLC4
ENSG00000157873,1,2487078,2496821,TNFRSF14
ENSG00000184787,21,46188955,46221934,UBE2G2
ENSG00000204276,HSCHR6_MHC_COX,32632816,32638891,HLA-DQA2
ENSG00000224305,HSCHR6_MHC_COX,32647573,32655029,HLA-DQB2
ENSG00000079805,19,10828755,10944164,DNM2
ENSG00000166747,16,71762913,71843104,AP1G1
ENSG00000264364,17,56160776,56172897,DYNLL2
ENSG00000136153,13,76194570,76434004,LMO7
ENSG00000261342,19,2727741,2729325,AC006538.1
ENSG00000005812,13,77566740,77601330,FBXL3
ENSG00000204642,6,29690552,29706305,HLA-F
ENSG00000166710,15,45003675,45011075,B2M
ENSG00000160255,21,46305868,46351904,ITGB2
