Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene name
ENSG00000275164,CHR_HSCHR3_6_CTG3,195747176,195811179,MUC4
ENSG00000276583,CHR_HSCHR3_1_CTG3,195720882,195741123,MUC20
ENSG00000277585,CHR_HSCHR3_1_CTG3,195746765,195819600,MUC4
ENSG00000273511,CHR_HSCHR19LRC_COX1_CTG3_1,54094681,54102740,OSCAR
ENSG00000206493,CHR_HSCHR6_MHC_QBL_CTG1,30478970,30483708,HLA-E
ENSG00000235067,CHR_HSCHR6_MHC_DBB_CTG1,30710458,30715683,TUBB
ENSG00000277281,CHR_HSCHR11_3_CTG1,1019669,1048356,MUC6
ENSG00000235941,CHR_HSCHR6_MHC_APD_CTG1,31882493,31884975,HSPA1A
ENSG00000206505,CHR_HSCHR6_MHC_QBL_CTG1,29930625,29999286,HLA-A
ENSG00000274580,CHR_HSCHR19_4_CTG3_1,54882451,54899533,FCAR
ENSG00000224156,CHR_HSCHR6_MHC_APD_CTG1,30784111,30789336,TUBB
ENSG00000281385,CHR_HSCHR11_3_CTG1,940735,1019087,AP2A2
ENSG00000282637,CHR_HSCHR17_2_CTG5,45316960,45317040,MAP3K14
ENSG00000230669,CHR_HSCHR6_MHC_APD_CTG1,32879989,32883975,PSMB8
ENSG00000274587,CHR_HSCHR19_4_CTG3_1,54217271,54223706,LILRB3
ENSG00000282019,CHR_HSCHR19_2_CTG3_1,34359480,34381539,GPI
ENSG00000282322,CHR_HSCHR14_3_CTG1,106117406,106117975,IGHV3-11
ENSG00000276192,CHR_HSCHR14_3_CTG1,105600717,105602504,IGHE
ENSG00000276491,CHR_HSCHR14_3_CTG1,106398342,106398826,IGHV4-34
ENSG00000282579,CHR_HSCHR14_3_CTG1,106446390,106446899,IGHV4-39
ENSG00000277633,CHR_HSCHR14_3_CTG1,105737114,105743842,IGHG1
ENSG00000282642,CHR_HSCHR14_3_CTG1,106359784,106360304,IGHV3-33
ENSG00000282593,CHR_HSCHR14_3_CTG1,106617357,106618028,IGHV3-53
ENSG00000277016,CHR_HSCHR14_3_CTG1,105625112,105626837,IGHG4
ENSG00000282286,CHR_HSCHR14_3_CTG1,106130311,106130843,IGHV3-13
ENSG00000275565,CHR_HSCHR10_1_CTG2,45390239,45462182,ALOX5
ENSG00000282550,CHR_HSCHR14_3_CTG1,105987353,105987854,IGHV1-2
ENSG00000282211,CHR_HSCHR14_3_CTG1,106062920,106063454,IGHV3-7
ENSG00000276053,CHR_HSCHR19_4_CTG3_1,54359738,54378912,LAIR1
ENSG00000282691,CHR_HSCHR14_3_CTG1,106651930,106652506,IGHV4-59
ENSG00000282453,CHR_HSCHR14_3_CTG1,106794747,106795266,IGHV2-70
ENSG00000282627,CHR_HSCHR14_3_CTG1,106562491,106563025,IGHV3-48
ENSG00000277318,CHR_HSCHR14_3_CTG1,106038673,106039136,IGHV2-5
ENSG00000282777,CHR_HSCHR14_3_CTG1,106335853,106336384,IGHV3-30
ENSG00000274497,CHR_HSCHR14_3_CTG1,105643841,105645561,IGHG2
ENSG00000277424,CHR_HSCHR16_3_CTG1,4476649,4512306,HMOX2
ENSG00000230514,CHR_HSCHR6_MHC_MCF_CTG1,32257394,32260750,AGER
ENSG00000282350,CHR_HSCHR14_3_CTG1,106739363,106739862,IGHV1-69
ENSG00000282131,CHR_HSCHR14_3_CTG1,106535796,106536537,IGHV1-46
ENSG00000281962,CHR_HSCHR14_3_CTG1,106269377,106269911,IGHV3-23
ENSG00000278488,CHR_HSCHR8_3_CTG7,143574785,143578649,NAPRT
ENSG00000234475,CHR_HSCHR6_MHC_DBB_CTG1,31797650,31800132,HSPA1A
ENSG00000242335,CHR_HSCHR6_MHC_SSTO_CTG1,31938304,31944738,CFB
ENSG00000231555,CHR_HSCHR6_MHC_DBB_CTG1,31809921,31812441,HSPA1B
ENSG00000230700,CHR_HSCHR6_MHC_DBB_CTG1,31647414,31654461,CSNK2B
ENSG00000275019,CHR_HSCHR19LRC_PGF1_CTG3_1,54217293,54223789,LILRB3
ENSG00000223980,CHR_HSCHR6_MHC_SSTO_CTG1,29930538,29999232,HLA-A
ENSG00000231268,CHR_HSCHR6_MHC_APD_CTG1,32247977,32251333,AGER
ENSG00000277377,CHR_HSCHR14_7_CTG1,94378757,94392703,SERPINA1
ENSG00000275806,CHR_HSCHR19LRC_PGF1_CTG3_1,54069947,54081380,TARM1
ENSG00000275736,CHR_HSCHR19_4_CTG3_1,54094679,54102746,OSCAR
ENSG00000277088,CHR_HSCHR19LRC_PGF1_CTG3_1,54094681,54102740,OSCAR
ENSG00000275079,CHR_HSCHR5_3_CTG1,1460716,1505839,LPCAT1
ENSG00000276355,CHR_HSCHR19_4_CTG3_1,54069895,54081380,TARM1
ENSG00000229215,CHR_HSCHR6_MHC_APD_CTG1,29881755,30002076,HLA-A
ENSG00000229684,CHR_HSCHR6_MHC_MCF_CTG1,30798683,30803908,TUBB
ENSG00000224320,CHR_HSCHR6_MHC_COX_CTG1,29879141,29999464,HLA-A
ENSG00000229058,CHR_HSCHR6_MHC_MANN_CTG1,32220356,32223712,AGER
ENSG00000276781,CHR_HSCHR14_7_CTG1,92923080,92935293,CHGA
ENSG00000206435,CHR_HSCHR6_MHC_SSTO_CTG1,31262172,31265564,HLA-C
ENSG00000223532,CHR_HSCHR6_MHC_COX_CTG1,31260536,31347723,HLA-B
ENSG00000223590,CHR_HSCHR6_MHC_MANN_CTG1,31028368,31034648,MUC21
ENSG00000242711,CHR_HSCHR6_MHC_APD_CTG1,32883408,32918836,PSMB9
ENSG00000241534,CHR_HSCHR6_MHC_DBB_CTG1,31927837,31934271,CFB
ENSG00000228964,CHR_HSCHR6_MHC_SSTO_CTG1,31262912,31350932,HLA-B
ENSG00000232960,CHR_HSCHR6_MHC_MANN_CTG1,31704690,31711736,CSNK2B
ENSG00000225201,CHR_HSCHR6_MHC_MCF_CTG1,30567930,30572668,HLA-E
ENSG00000243594,CHR_HSCHR6_MHC_QBL_CTG1,32772831,32808281,PSMB9
ENSG00000206406,CHR_HSCHR6_MHC_QBL_CTG1,31655467,31663777,CSNK2B
ENSG00000227746,CHR_HSCHR6_MHC_MCF_CTG1,32091205,32111862,C4A
ENSG00000233841,CHR_HSCHR6_MHC_COX_CTG1,31259794,31263175,HLA-C
ENSG00000224639,CHR_HSCHR6_MHC_MCF_CTG1,32058468,32058494,C4B
ENSG00000234920,CHR_HSCHR6_MHC_SSTO_CTG1,31535211,31537597,ATP6V1G2
ENSG00000237405,CHR_HSCHR6_MHC_SSTO_CTG1,32188640,32191996,AGER
ENSG00000236632,CHR_HSCHR6_MHC_MANN_CTG1,30534109,30538847,HLA-E
ENSG00000243570,CHR_HSCHR6_MHC_MCF_CTG1,32022093,32028527,CFB
ENSG00000234137,CHR_HSCHR6_MHC_COX_CTG1,30973408,30979603,MUC21
ENSG00000206320,CHR_HSCHR6_MHC_QBL_CTG1,32138576,32141932,AGER
ENSG00000275903,CHR_HSCHR17_7_CTG4,38553523,38565018,PSMB3
ENSG00000231834,CHR_HSCHR6_MHC_MANN_CTG1,29930208,29934849,HLA-A
ENSG00000240508,CHR_HSCHR6_MHC_MCF_CTG1,32877612,32913027,PSMB9
ENSG00000228454,CHR_HSCHR6_MHC_SSTO_CTG1,32007416,32028073,C4B
ENSG00000226560,CHR_HSCHR6_MHC_MCF_CTG1,31974264,32022117,C2
ENSG00000230254,CHR_HSCHR6_MHC_SSTO_CTG1,30481701,30486439,HLA-E
ENSG00000204364,CHR_HSCHR6_MHC_MANN_CTG1,31959563,31985058,C2
ENSG00000235696,CHR_HSCHR6_MHC_SSTO_CTG1,31912644,31938328,C2
ENSG00000227315,CHR_HSCHR6_MHC_COX_CTG1,31845195,31850443,NEU1
ENSG00000204359,CHR_HSCHR6_MHC_MANN_CTG1,31985034,31990148,CFB
ENSG00000189403,13,30456704,30617597,HMGB1
ENSG00000215328,CHR_HSCHR6_MHC_QBL_CTG1,31805699,31808181,HSPA1A
ENSG00000235657,CHR_HSCHR6_MHC_DBB_CTG1,29879362,29999797,HLA-A
ENSG00000282172,CHR_HG2290_PATCH,88897232,88897784,IGKV5-2
ENSG00000282801,CHR_HG2290_PATCH,88947301,88947957,IGKV1-5
ENSG00000241253,CHR_HSCHR6_MHC_QBL_CTG1,31936032,31942466,CFB
ENSG00000282823,CHR_HG2290_PATCH,89027171,89027731,IGKV3-11
ENSG00000282694,CHR_HG2290_PATCH,89040224,89040745,IGKV1-12
ENSG00000282447,CHR_HG2290_PATCH,89085177,89085787,IGKV3-15
ENSG00000282282,CHR_HG2290_PATCH,89099859,89100361,IGKV1-16
ENSG00000281978,CHR_HG2290_PATCH,89117342,89117844,IGKV1-17
ENSG00000282402,CHR_HG2290_PATCH,89142574,89143160,IGKV3-20
ENSG00000282025,CHR_HG2290_PATCH,89221698,89222461,IGKV2-28
ENSG00000281933,CHR_HG2290_PATCH,89244781,89245596,IGKV2-30
ENSG00000282811,CHR_HG2290_PATCH,89266494,89268506,IGKV1-33
ENSG00000282120,CHR_HG2290_PATCH,89319625,89320146,IGKV1-39
ENSG00000280951,CHR_HG2030_PATCH,133361598,133376314,SURF4
ENSG00000224501,CHR_HSCHR6_MHC_COX_CTG1,31815107,31817630,HSPA1B
ENSG00000234729,CHR_HSCHR6_MHC_COX_CTG1,32129439,32132795,AGER
ENSG00000232575,CHR_HSCHR6_MHC_MANN_CTG1,30764859,30770084,TUBB
ENSG00000232421,CHR_HSCHR6_MHC_SSTO_CTG1,30712452,30717677,TUBB
ENSG00000231631,CHR_HSCHR6_MHC_SSTO_CTG1,32931434,32935368,PSMB8
ENSG00000244207,CHR_HSCHR6_MHC_DBB_CTG1,31964204,31984862,C4A
ENSG00000132970,13,26557683,26688948,WASF3
ENSG00000206340,CHR_HSCHR6_MHC_QBL_CTG1,31972402,31993060,C4A
ENSG00000224608,CHR_HSCHR6_MHC_MANN_CTG1,31312948,31400264,HLA-B
ENSG00000183311,CHR_HSCHR6_MHC_QBL_CTG1,30709720,30714946,TUBB
ENSG00000236625,CHR_HSCHR6_MHC_DBB_CTG1,31996944,32011233,C4B
ENSG00000168461,18,9708275,9862551,RAB31
ENSG00000226850,CHR_HSCHR6_MHC_MANN_CTG1,31583922,31586304,ATP6V1G2
ENSG00000229252,CHR_HSCHR6_MHC_DBB_CTG1,30479706,30484444,HLA-E
ENSG00000232126,CHR_HSCHR6_MHC_MCF_CTG1,31346626,31433637,HLA-B
ENSG00000234668,CHR_HSCHR6_MHC_DBB_CTG1,31526639,31529021,ATP6V1G2
ENSG00000206298,CHR_HSCHR6_MHC_QBL_CTG1,32769412,32773398,PSMB8
ENSG00000093072,22,17178790,17258235,ADA2
ENSG00000156261,21,29055805,29073797,CCT8
ENSG00000176105,18,721588,812546,YES1
ENSG00000237022,CHR_HSCHR6_MHC_MANN_CTG1,31312208,31315579,HLA-C
ENSG00000230900,CHR_HSCHR6_MHC_MCF_CTG1,31620808,31623190,ATP6V1G2
ENSG00000281221,CHR_HG2021_PATCH,39986432,39997031,PSMC4
ENSG00000142192,21,25880550,26171128,APP
ENSG00000224774,CHR_HSCHR6_MHC_SSTO_CTG1,31655985,31664295,CSNK2B
ENSG00000224398,CHR_HSCHR6_MHC_MCF_CTG1,31741515,31749825,CSNK2B
ENSG00000078142,18,41955234,42087830,PIK3C3
ENSG00000211662,22,22711689,22713203,IGLV3-21
ENSG00000206452,CHR_HSCHR6_MHC_QBL_CTG1,31258588,31261959,HLA-C
ENSG00000283350,CHR_HG107_PATCH,1012823,1036718,MUC6
ENSG00000233904,CHR_HSCHR6_MHC_COX_CTG1,30479321,30484059,HLA-E
ENSG00000283158,CHR_HG107_PATCH,1159911,1203106,MUC5AC
ENSG00000125903,20,227258,229886,DEFB129
ENSG00000211677,22,22900976,22901437,IGLC2
ENSG00000227506,CHR_HSCHR6_MHC_MCF_CTG1,31062263,31068453,MUC21
ENSG00000278196,22,22822658,22823289,IGLV2-8
ENSG00000282967,CHR_HSCHR4_9_CTG12,70028413,70036538,HTN3
ENSG00000178591,20,87250,97094,DEFB125
ENSG00000211659,22,22686726,22687271,IGLV3-25
ENSG00000283046,CHR_HSCHR4_9_CTG12,70050438,70058848,HTN1
ENSG00000211668,22,22792491,22793007,IGLV2-11
ENSG00000206445,CHR_HSCHR6_MHC_QBL_CTG1,31534725,31537107,ATP6V1G2
ENSG00000236443,CHR_HSCHR6_MHC_MANN_CTG1,32994477,32998463,PSMB8
ENSG00000212866,CHR_HSCHR6_MHC_QBL_CTG1,31817974,31820498,HSPA1B
ENSG00000185982,20,187853,189711,DEFB128
ENSG00000223957,CHR_HSCHR6_MHC_MANN_CTG1,31897282,31902529,NEU1
ENSG00000125788,20,142590,145751,DEFB126
ENSG00000234846,CHR_HSCHR6_MHC_SSTO_CTG1,31850351,31855624,NEU1
ENSG00000211673,22,22880706,22881396,IGLV3-1
ENSG00000188811,13,39038306,39050109,NHLRC3
ENSG00000102837,13,53028813,53052057,OLFM4
ENSG00000239754,CHR_HSCHR6_MHC_COX_CTG1,31933196,31939630,CFB
ENSG00000132639,20,10218830,10307418,SNAP25
ENSG00000235017,CHR_HSCHR6_MHC_COX_CTG1,31885329,31933220,C2
ENSG00000230034,CHR_HSCHR6_MHC_DBB_CTG1,32818694,32822680,PSMB8
ENSG00000206463,CHR_HSCHR6_MHC_QBL_CTG1,30973281,30979676,MUC21
ENSG00000237962,CHR_HSCHR6_MHC_DBB_CTG1,30974428,30980608,MUC21
ENSG00000180424,20,31440632,31450257,DEFB123
ENSG00000100365,22,36860988,36878017,NCF4
ENSG00000240118,CHR_HSCHR6_MHC_DBB_CTG1,32822113,32857517,PSMB9
ENSG00000226201,CHR_HSCHR6_MHC_MCF_CTG1,32874193,32878179,PSMB8
ENSG00000227739,CHR_HSCHR6_MHC_COX_CTG1,30710059,30715284,TUBB
ENSG00000228299,CHR_HSCHR6_MHC_DBB_CTG1,31260956,31264327,HLA-C
ENSG00000228267,CHR_HSCHR6_MHC_COX_CTG1,31969570,31983859,C4B
ENSG00000227129,CHR_HSCHR6_MHC_MCF_CTG1,31934136,31939383,NEU1
ENSG00000131068,20,31368601,31373923,DEFB118
ENSG00000125810,20,23079360,23086324,CD93
ENSG00000225691,CHR_HSCHR6_MHC_MCF_CTG1,31345885,31349256,HLA-C
ENSG00000211663,22,22720623,22721145,IGLV3-19
ENSG00000284282,CHR_HG926_PATCH,21946243,21983930,POLR3E
ENSG00000288357,CHR_HSCHR19KIR_CA01-TB01_CTG3_1,54833142,54858873,KIR2DS5
ENSG00000132664,20,18467389,18484646,POLR3F
ENSG00000235715,CHR_HSCHR6_MHC_COX_CTG1,32763034,32767021,PSMB8
ENSG00000283750,CHR_HSCHR19KIR_CA01-TB01_CTG3_1,54901684,54918869,FCAR
ENSG00000078898,20,33007704,33023703,BPIFB2
ENSG00000160307,21,46598604,46605208,S100B
ENSG00000211679,22,22906342,22906803,IGLC3
ENSG00000184381,22,38111495,38214778,PLA2G6
ENSG00000088782,20,157454,159163,DEFB127
ENSG00000227587,CHR_HSCHR6_MHC_COX_CTG1,31531911,31534293,ATP6V1G2
ENSG00000198183,20,33235995,33243311,BPIFA1
ENSG00000243067,CHR_HSCHR6_MHC_COX_CTG1,32766454,32801905,PSMB9
ENSG00000211658,22,22668288,22668806,IGLV3-27
ENSG00000228875,CHR_HSCHR6_MHC_COX_CTG1,31652646,31660956,CSNK2B
ENSG00000282905,CHR_HG26_PATCH,38899736,38908929,NFKBIB
ENSG00000197046,18,45825675,45844094,SIGLEC15
ENSG00000215547,20,31257664,31259632,DEFB115
ENSG00000067900,18,20946906,21111813,ROCK1
ENSG00000281877,CHR_HG2058_PATCH,26529761,26575030,RPS6KA1
ENSG00000284245,CHR_HSCHR19KIR_502960008-2_CTG3_1,54873209,54890394,FCAR
ENSG00000124102,20,45174902,45176544,PI3
ENSG00000288206,CHR_HSCHR19KIR_CA01-TB04_CTG3_1,54938533,54964264,KIR2DS5
ENSG00000102580,13,95677139,95794988,DNAJC3
ENSG00000284004,CHR_HSCHR19KIR_CA04_CTG3_1,54793733,54810918,FCAR
ENSG00000284881,CHR_HG76_PATCH,6870569,6877898,DEFB1
ENSG00000285136,CHR_HG76_PATCH,6924551,6925929,DEFA6
ENSG00000285318,CHR_HG76_PATCH,6935673,6938159,DEFA4
ENSG00000284983,CHR_HG76_PATCH,6977491,6979922,DEFA1
ENSG00000285176,CHR_HG76_PATCH,6996733,6997594,DEFA1B
ENSG00000284835,CHR_HG76_PATCH,7015719,7018151,DEFA3
ENSG00000285251,CHR_HG76_PATCH,7055160,7056595,DEFA5
ENSG00000284979,CHR_HG76_PATCH,7314775,7328172,DEFB107B
ENSG00000185896,13,113297239,113323672,LAMP1
ENSG00000285015,CHR_HG76_PATCH,7334489,7336403,DEFB105B
ENSG00000285617,CHR_HG76_PATCH,7337700,7341475,DEFB106A
ENSG00000285034,CHR_HG76_PATCH,7348998,7353771,DEFB104A
ENSG00000285376,CHR_HG76_PATCH,7393965,7395109,DEFB103A
ENSG00000285433,CHR_HG76_PATCH,7407233,7409249,DEFB4B
ENSG00000285249,CHR_HG76_PATCH,7874916,7882269,DEFB130A
ENSG00000284754,CHR_HG76_PATCH,7956435,7959574,DEFB134
ENSG00000285365,CHR_HG76_PATCH,7968158,7970427,DEFB135
ENSG00000285087,CHR_HG76_PATCH,7978152,7978814,DEFB136
ENSG00000130150,X,14873421,14922327,MOSPD2
ENSG00000177189,X,20149911,20267519,RPS6KA3
ENSG00000065675,10,6427143,6580301,PRKCQ
ENSG00000124233,20,45207033,45209768,SEMG1
ENSG00000285482,CHR_HG2419_PATCH,144314584,144326910,DGAT1
ENSG00000285432,CHR_HG76_PATCH,12013695,12017701,DEFB107A
ENSG00000285411,CHR_HG76_PATCH,12023992,12025826,DEFB105B
ENSG00000284937,CHR_HG76_PATCH,12027161,12030974,DEFB106B
ENSG00000285356,CHR_HG76_PATCH,12038494,12043266,DEFB104B
ENSG00000284978,CHR_HG76_PATCH,12083409,12084681,DEFB103A
ENSG00000285181,CHR_HG76_PATCH,12096694,12098729,DEFB4A
ENSG00000167104,20,33031648,33044047,BPIFB6
ENSG00000242550,18,63897174,63936111,SERPINB10
ENSG00000160209,21,43719094,43762307,PDXK
ENSG00000062598,20,46366050,46432985,ELMO2
ENSG00000160213,21,43772511,43776330,CSTB
ENSG00000288411,CHR_HG2111_PATCH,18266260,18269977,SAA1
ENSG00000283953,CHR_HSCHR19KIR_0010-5217-AB_CTG3_1,54794996,54812181,FCAR
ENSG00000165168,X,37780059,37813461,CYBB
ENSG00000284217,CHR_HSCHR19KIR_HG2393_CTG3_1,54782674,54797009,KIR2DS5
ENSG00000284061,CHR_HSCHR19KIR_HG2393_CTG3_1,54839791,54856976,FCAR
ENSG00000288461,CHR_HG2365_PATCH,23539361,23616629,CYFIP1
ENSG00000101695,18,32018825,32073219,RNF125
ENSG00000100321,22,39349925,39385575,SYNGR1
ENSG00000182220,X,40579372,40606848,ATP6AP2
ENSG00000186184,13,27620742,27744237,POLR1D
ENSG00000101425,20,38304150,38337505,BPI
ENSG00000197766,19,859664,863641,CFD
ENSG00000148444,10,22316386,22320306,COMMD3
ENSG00000284916,CHR_HG1_PATCH,24136162,24138966,PSME1
ENSG00000080618,13,46053186,46105033,CPB2
ENSG00000078902,11,1274371,1309654,TOLLIP
ENSG00000172232,19,825097,832018,AZU1
ENSG00000284889,CHR_HG1_PATCH,24143361,24147569,PSME2
ENSG00000117983,11,1223066,1262172,MUC5B
ENSG00000132109,11,4384897,4393702,TRIM21
ENSG00000144635,3,32525974,32570858,DYNC1LI1
ENSG00000167193,17,1420689,1463162,CRK
ENSG00000107643,10,48306639,48439360,MAPK8
ENSG00000211666,22,22758700,22759218,IGLV2-14
ENSG00000288512,CHR_HG1398_PATCH,7080214,7091771,C1R
ENSG00000100393,22,41092592,41180077,EP300
ENSG00000211660,22,22697789,22698407,IGLV2-23
ENSG00000100994,20,25248085,25298012,PYGB
ENSG00000100351,22,39901084,39973721,GRAP2
ENSG00000064666,19,1026586,1039068,CNN2
ENSG00000215545,20,31303212,31308585,DEFB116
